PSR name	MJD	err	Δν/ν(10-9)	Error(10-9)	Catalogue
B1754-24	55716	21	7807	1	JBO
B1757-24	49476	3	1987.9	0.3	JBO
B1757-24	50651	3	1247.4	0.3	JBO
B1757-24	52055	7	3755.8	0.4	JBO
B1757-24	53033.25	0.02	17.4	0.2	JBO
B1757-24	54661	2	3101	1	JBO
B1757-24	56979	36	2413	0.4	JBO
B1757-24	58564.76	0.007	2250.9	2.8	JBO
B1758-03	48000	1	3.1	0.1	JBO
B1758-23	46907	21	216.3	0.2	JBO
B1758-23	47855	24	230.7	0.3	JBO
B1758-23	48453.95	0.04	348	1	JBO
B1758-23	49701.7	0.3	66	2	JBO
B1758-23	50055.3	0.5	22	1	JBO
B1758-23	50363.06	0.02	81	1	JBO
B1758-23	50939	6	6	3	JBO
B1758-23	52093	26	646.7	0.2	JBO
B1758-23	53306.98	0.01	497	1	JBO
B1758-23	55360	3	2.9	0.7	JBO
B1758-23	55841	3	1.7	0.5	JBO
B1758-23	56149.024	0.08	513.8	0.4	JBO
B1758-23	57586.2	0.1	48.67	0.05	JBO
B1758-23	58846	6	5	0.6	JBO
B1758-23	58993.5	0.7	374	5	JBO
B1800-21	48245	11	4074.4	0.3	JBO
B1800-21	50264.1	0.1	7.1	0.2	JBO
B1800-21	50777	4	3184	1	JBO
B1800-21	53429	1	3929.3	0.4	JBO
B1800-21	55775	2	4793	3	JBO
B1800-21	58958	40	4960.6	1.3	JBO
J1806-2125	51708	123	15773.1	12.3	JBO
J1809-0119	55406	2	1.7	0.3	JBO
J1809-0119	55803	1	3	0.4	JBO
B1809-173	49932	1	1.5	0.2	JBO
B1809-173	53106.2	0.1	14.8	0.2	JBO
B1809-173	54365.8	0.3	1.4	0.1	JBO
J1809-1917	53251	2	1625.1	0.3	JBO
J1809-2004	54196	25	2	1	JBO
J1809-2004	56227.5	0.2	48.67	0.05	JBO
J1813-1246	55094	X	1166	0.4	JBO
J1814-1744	51371	4	8	4	JBO
