PSR name	Δν/ν (10-9)	Error (10-9)
B1935+25	0.03	0.01
B1946-25	0.09	0.01
B1951+32	2.3	0.1
B1951+32	0.7	0.1
B1951+32	1.3	0.1
B1951+32	0.5	0.1
B1951+32	5.2	0.2
B1951+32	1489.9	0.4
B1953+50	0.04	0.01
B1953+50	0.021	0.004
J1957+2831	0.3	0.1
J1957+2831	0.13	0.03
J1957+2831	5.8	0.3
J1957+2831	2.25	0.06
J2005-0020	12.5	0.6
J2021+3651	2587	2
J2021+3651	745	6
J2021+3651	2228.8	0.9
J2021+3651	3069	2
J2021+3651	1186.5	0.8
B2020+28	0.13	0.02
B2021+51	0.33	0.04
J2022+3842	1900	0
B2027+37	6.2	0.2
J2032+4127	273.3	0.1
J2111+4606	1091.5	1.4
J2111+4606	3258	1
B2113+14	0.26	0.04
B2217+47	1.16	0.02
B2224+65	1707	1
B2224+65	0.14	0.03
B2224+65	0.08	0.04
B2224+65	0.2	0.1
B2224+65	0.4	0.1
J2229+6114	1139.3	0.3
J2229+6114	327	4
J2229+6114	4.5	0.2
J2229+6114	198.4	0.6
J2229+6114	1223.6	0.6
J2229+6114	850	1
J2229+6114	1047.1	0.9
J2229+6114	283.9	1.1
B2255+58	0.75	0.04
1E_2259+586	4104	28
1E_2259+586	30.8	3.5
1E_2259+586	11167	0
1E_2259+586	880	3
1E_2259+586	-14	1
B2323+63	0.21	0.02
B2334+61	20470	1
J2346-0609	0.55	0.01
M82-X2	20000	0
J0146+6145	650	150
J0146+6145	1630	350
J0146+6145	4440	40
J0625+10	0.33	0.05
J0625+10	1.17	0.06
B0906-49	22.2	0.2
J0954-5430	0.67	0.06
J1015-5719	3232.3	0.6
J1050-5953	2910	9
J1050-5953	16300	200
J1141-6545	589	0.6
B1317-53	10.5	0.1
B1317-53	246.8	0.1
J1422-6138	9.045391	0.000001
J1422-6138	405.06403	0.00002
J1522-5735	-11.4	0.6
B1558-50	152	1
J1636-2614	0.688	0.025
J1636-2614	0.71	0.03
B1642-03	0.89	0.02
B1642-03	1.47	0.02
B1642-03	1.98	0.02
B1642-03	2.6	0.02
B1642-03	2.25	0.02
B1642-03	1.43	0.02
B1642-03	2.64	0.02
